00,Dutchbird Airlines
Q7,Sobelair
Q8,Trans Congo (TAC)
Q9,Afrinat Intl
QA,Aerocaribe
QB,Air Bisec
QE,Europe Continental
QF,Qantas Airways
QH,Altyn Air Airlines
QI,Cimber Air A.S.
QJ,LATPASS Airlines
QK,Air Canada Jazz
QL,Serendib Expr
QM,Air Malawi Limited
QN,Air Armenia
QO,Origin Pacific
QP,Airkenya Aviation
QQ,Alliance Air Pty
QR,Qatar (WLL)
QS,Travel Service
QT,Regional Air Pty
QU,East African Air
QV,Lao Aviation
QW,Blue Wings AG
QX,Horizon Air
QZ,AWAIR Intl
R2,Orenburg Fed State
R3,Armenian Airlines
R4,Trans Co of Russia
R5,Malta Charter Co
R6,Air Srpska
R7,Aserca Airlines
R8,Kyrghyzstan Air
R9,Village Av Camai
RA,Royal Nepal Corp
RB,Syrian Arab Air
RC,Atlantic Faroe Is
RE,Aer Arann Express
RG,Varig S.A.
RI,Mandala Airlines
RJ,Royal Jordanian
RK,Royal Khmer Air
RL,Royal Phnom Penh
RM,Regional Air Ltd.
RO,TAROM Transport
RP,Chautauqua Air
RQ,Kam Air
RR,Royal Air Force
RU,TCI Skyking Ltd.
RY,European Executive
RZ,Servicios Nat
S2,Sahara Airlines
S3,Santa Barbara Air
S4,SATA Intl Servicos
S5,Shuttle America
S6,Mountain Bird
S7,Siberia Airlines
S8,Charlan Charter
S9,African Safari
SA,South African
SB,Caledonie Intl
SC,Shandong Airlines
SD,Sudan Airways Co
SE,STAR Airlines
SF,Tassili Airlines
SG,Jetsgo Corporation
SH,AERIS
SK,Scandinavian Sys
SL,Rio Sul Linhas
SM,Swedline Express
SN,Brussels Airlines
SP,SATA - Air Acores
SQ,Singapore Airlines
SR,Swissair
SS,Corse Air Intl
ST,Fluggesellschaft
SU,Aeroflot Russian
SV,Saudi Arabian Air
SW,Air Namibia
SX,Aeroejecutivo SA
SY,Sun Country Air
T2,Nakina Outpost
T3,Eastern Airways
T4,Hellas Jet S.A.
T5,Turkmenistan Air
T6,Tavrey Aircompany
T7,Twin Jet
T8,STA Trans African
T9,Transmeridian Air
TA,Taca Intl Air
TB,TUI Air Belgium
TC,Air Tanzania
TD,Atlantis European
TE,Lithuanian Air
TF,Malmo Aviation
TG,Thai Airways
TH,British CitiExpr
TJ,Aereos Nac Selva
TK,Turkish Airlines
TL,Airnorth Regional
TM,LAM Mocambique
TN,Air Tahiti Nui
TO,President Airlines
TP,TAP - Air Portugal
TQ,Tandem Aero Ltd.
TS,Air Transat
TT,Air Lithuania
TU,Tunisair
TV,Virgin Express
TW,Trans World Air
TX,Air Caraibes
TY,Iberworld Airlines
TZ,ATA
U2,Easyjet Airlines
U5,Brendan Airways
U6,Ural Airlines
U7,Northern Dene
U8,Armavia
U9,Tatarstan JSC Air
UA,United
UB,Myanma Airways
UC,Ladeco Ladeco Air
UD,Hex'Air
UE,Euroamerica (UAIR)
UF,Ukrainian Med
UG,Tuninter S.A.
UH,Eurasia Airco
UL,SriLankan Airlines
UM,Air Zimbabwe (Pvt)
UN,Transaero Airlines
UP,Bahamasair
UQ,O'Connor Airlines
US,US Airways
UT,Air Orient
UU,Air Austral
UV,Helicopt Sureste
UW,Universal Airlines
UX,Europa Lineas
UY,Cameroon Airlines
UZ,Buraq Air (BRQ)
V2,Karat Joint St Co
V3,Carpatair S.A.
V4,Valair
V5,Royal Aruban Air
V6,Air Atlantique
V7,Air Senegal Intl
V8,Iliamna Air Taxi
V9,Bashkir Air (BAL)
VA,Volare Airlines
VB,Duo Limited
VE,Avensa
VF,Valuair Ltd.
VG,VLM Airlines
VH,Aeropostal Alas
VJ,Jatayu Airlines
VK,Val Air Inc.
VL,Intl Expr Charter
VM,Viaggio Air
VN,Vietnam Air Corp
VO,Tyrolean Tiroler
VP,Viacao Aerea
VQ,Vintage Props/Jets
VR,Aereos Cabo Verde
VS,Virgin Atlantic
VT,Air Tahiti
VU,Nouvelle Ivoire
VV,Aerosvit Airlines
VW,Aeromar
VZ,MyTravel Airlines
W2,Canadian Western
W5,Mahan Airlines
W7,Sayakhat Airlines
